X,Y,id,tipo_ubicazione,denominazione_ubicazione,numero_ civico,note,Indirizzo,UPL,Quartiere,Circoscrizione
13.367761,38.118578,1495,Via,CALA,70,,"Via Cala, 70, 90133 Palermo",Castellammare o Loggia,Tribunali-Castellammare,I
13.360784,38.119936,1498,Piazzetta,MONTELEONE,4,,"Piazzetta Monteleone, 4, 90133 Palermo",Castellammare o Loggia,Tribunali-Castellammare,I
13.367142,38.16571,1499,Piazzetta,DELLE VERGINI,12,,"Piazza Vergine Maria, 12, 90142 Palermo",Vergine Maria,Arenella - Vergine Maria,VII
13.364589,38.118196,1500,Piazzetta,APPALTO,13,,"Piazzetta Appalto, 13, 90133 Palermo",Castellammare o Loggia,Tribunali-Castellammare,I
13.36383,38.1173,1501,Piazza,CARACCIOLO,11,,"Piazza Caracciolo, 11, 90151 Palermo",Castellammare o Loggia,Tribunali-Castellammare,I
13.364943,38.121342,1504,Vicolo,SANT ALESSANDRO,47,,"Via Sant'Alessandro, 47, 90133 Palermo",Castellammare o Loggia,Tribunali-Castellammare,I
13.365863,38.120099,1505,Piazza,TAVOLA TONDA,18,,"Via Tavola Tonda, 18, 90133 Palermo",Castellammare o Loggia,Tribunali-Castellammare,I
13.324265,38.128633,1507,Piazza,COLLEGIO ROMANO,17,,"Via Collegio Romano, 17, 90145 Palermo",Uditore,Uditore - Passo di Rigano,V
13.324199,38.128285,1508,Via,COLLEGIO ROMANO,2,,"Via Collegio Romano, 2, 90145 Palermo",Uditore,Uditore - Passo di Rigano,V
13.322627,38.131575,1509,Piazza,UDITORE,15,,"Piazza Uditore, 15, 90145 Palermo",Uditore,Uditore - Passo di Rigano,V
13.30878,38.126314,1512,Via,MAZZARELLA,45,,"Via Mazzarella, 45, 90135 Palermo",Passo di Rigano,Uditore - Passo di Rigano,V
13.308834,38.125642,1513,Via,CASTELLANA,95,,"Via Castellana, 95, 90135 Palermo",Passo di Rigano,Uditore - Passo di Rigano,V
13.31602,38.147081,1514,Cortile,"PRESTIGIACOMO, TRABUCCO",10,,"Cortile Prestigiacomo, 90146 Palermo",Cruillas,Cruillas - S.Giovanni Apostolo,VI
13.313721,38.129436,1516,Via,CASALINI,,,"Via Casalini, 90135 Palermo",Passo di Rigano,Uditore - Passo di Rigano,V
13.361487,38.11569,1517,Via,CL 13 AMORELLI ALSO,6,,"Palermo, Province of Palermo, Italia",Tribunali o Kalsa,Tribunali-Castellammare,I
13.315473,38.147798,1518,via,TRABUCCO,67,,"Via Trabucco, 67, 90146 Palermo",Cruillas,Cruillas - S.Giovanni Apostolo,VI
